"date","week","delta_netsnow_top30","gcr_greater_netsnow","ecr_greater_netsnow","delta_netgain_top30","gcr_greater_netgain","ecr_greater_netgain","min_missing_rank","not_in_top30","missing_ranks","missing_delta_ranks","min_missing_delta_ranks","max_missing_delta_ranks","delta_rank","gcr_greater_rank","ecr_greater_rank","prefixes_ecr_top30","prefixes_gcr_top30","prefixes_gcr_total","avg_missing"
"1999-07-16",87,1700,1700,0,1230,1151,79,8,14,275,545,12,88,703,652,51,5940,7640,63658,19
"1999-07-23",88,2107,2107,0,1317,1240,77,8,14,271,637,16,101,816,749,67,6656,8763,64534,19
"1999-07-30",89,2387,2387,0,1485,1402,83,9,14,274,571,14,105,758,693,65,6184,8571,65415,19
"1999-08-06",90,2029,2028,1,1503,1416,87,9,13,251,510,14,87,695,628,67,5934,7961,64784,19
"1999-08-13",91,3283,2367,916,2059,1427,632,0,14,270,1294,14,837,1455,1403,52,7222,8673,65632,19
"1999-08-20",92,2217,2216,1,1769,1709,60,5,15,294,491,13,56,631,588,43,6411,8626,65904,19
"1999-08-27",93,1770,1767,3,1565,1515,50,5,15,288,492,14,58,625,595,30,6369,8133,66174,19
"1999-10-01",98,2450,2450,0,1680,1644,36,6,11,213,441,23,66,645,568,77,7112,9562,67838,19
"1999-10-08",99,2956,2956,0,1918,1878,40,12,12,253,455,7,105,660,579,81,7647,10603,68248,21
"1999-11-05",103,3227,3227,0,1807,1760,47,8,12,236,517,15,154,722,633,89,7769,10996,69841,19
"2000-01-07",112,3049,3048,1,2059,2021,38,6,11,198,486,14,189,686,596,90,7337,10384,72996,18
"2000-01-14",113,2816,2816,0,2982,2903,79,1,22,372,1356,18,222,1473,1438,35,2984,5800,76149,16
"2000-01-21",114,4449,4449,0,3759,3687,72,3,13,204,524,16,174,692,600,92,7478,11927,76486,15
"2000-01-28",115,2519,2519,0,2330,2276,54,4,14,223,548,9,180,699,616,83,7539,10058,76705,15
"2000-02-04",116,1833,1833,0,1968,1911,57,4,13,212,527,17,164,668,599,69,6715,8548,76474,16
"2000-02-11",117,1638,1638,0,1922,1862,60,5,14,244,573,9,204,719,659,60,6817,8455,77283,17
"2000-02-18",118,2578,2575,3,2278,2249,29,5,13,220,414,10,56,571,485,86,7798,10370,75942,16
"2000-02-25",119,2659,2659,0,2073,2052,21,5,14,243,464,10,53,628,542,86,7744,10403,77562,17
"2000-03-24",123,2646,2646,0,2197,2167,30,5,18,286,580,13,67,703,629,74,7829,10475,80463,15
"2000-03-31",124,2683,2683,0,2296,2259,37,5,18,313,589,13,68,696,649,47,7852,10535,81092,17
"2000-04-07",125,3276,3276,0,2342,2304,38,5,16,278,483,14,56,622,559,63,8143,11419,80743,17
"2000-04-21",127,3750,3690,60,2600,2488,112,5,15,262,1911,10,1399,2060,1991,69,8116,11746,81388,17
"2000-05-12",130,2596,2529,67,1811,1735,76,5,17,288,1127,12,612,1218,1193,25,7186,9648,85446,16
"2000-05-19",131,2524,2347,177,1649,1526,123,5,17,288,1279,16,614,1387,1353,34,7186,9356,85559,16
"2000-05-26",132,2782,2693,89,1941,1818,123,5,17,288,1297,15,614,1384,1362,22,7186,9790,86383,16
"2000-06-02",133,2739,2657,82,2011,1906,105,5,17,288,1273,15,613,1362,1327,35,7186,9761,85105,16
"2000-06-09",134,3372,3372,0,2265,2210,55,5,16,270,665,11,190,786,731,55,8027,11399,84322,16
"2000-06-16",135,3970,3970,0,2739,2688,51,4,17,260,655,19,164,799,708,91,8418,12388,86266,15
"2000-06-23",136,3961,3961,0,2841,2808,33,5,13,202,438,14,66,595,512,83,8823,12784,84536,15
"2000-06-30",137,4867,4867,0,3186,3152,34,5,15,255,531,16,80,696,610,86,8553,13420,87434,17
"2000-07-07",138,5143,5141,2,3230,3212,18,6,16,263,573,20,66,725,636,89,8736,13875,88322,16
"2000-07-14",139,4805,4805,0,3339,3321,18,3,16,228,514,13,49,637,549,88,9032,13837,88468,14
"2000-07-21",140,4461,4461,0,3142,3090,52,6,15,267,536,5,85,721,636,85,8415,12876,87752,17
"2000-07-28",141,4193,4193,0,2701,2660,41,4,16,254,576,10,70,715,639,76,8367,12560,88795,15
"2000-08-04",142,3558,3558,0,2592,2571,21,4,15,249,515,9,69,664,595,69,8353,11911,88258,16
"2000-08-11",143,4101,4101,0,3310,3281,29,4,13,229,448,9,68,627,543,84,8654,12755,88661,17
"2000-08-18",144,4060,4052,8,3327,3296,31,4,14,239,491,16,69,668,583,85,8683,12727,94577,17
"2000-09-08",147,3666,3666,0,3161,3137,24,4,14,253,447,16,53,610,536,74,8632,12298,95615,18
"2000-09-15",148,4173,4173,0,3884,3859,25,5,14,221,432,18,51,609,510,99,8994,13167,98162,15
"2000-09-22",149,3842,3842,0,3332,3298,34,5,15,254,481,17,66,614,539,75,9129,12971,97972,16
"2000-09-29",150,3712,3712,0,3405,3369,36,6,16,289,523,15,56,626,576,50,9464,13176,94573,18
"2000-10-06",151,3574,3574,0,3199,3155,44,6,15,259,518,16,67,630,576,54,9193,12767,93711,17
"2000-10-13",152,3350,3350,0,2763,2714,49,4,16,270,602,18,73,728,670,58,8633,11983,94144,16
"2000-10-20",153,3252,3252,0,2734,2684,50,4,16,270,598,17,68,713,662,51,8592,11844,94453,16
"2000-10-27",154,3495,3495,0,2822,2775,47,4,16,270,589,19,65,709,654,55,8647,12142,94834,16
"2000-11-03",155,2311,2311,0,2157,2123,34,2,20,328,1217,13,122,1314,1286,28,6485,8796,95846,16
"2000-11-24",158,4043,4043,0,3373,3316,57,4,14,231,629,17,84,787,718,69,8863,12906,98179,16
"2000-12-08",160,3669,2292,1377,3809,3397,412,5,12,211,1883,7,1160,2044,1977,67,10080,10995,67472,17
"2000-12-15",161,5129,5129,0,5002,4953,49,5,15,255,605,11,86,768,697,71,10119,15248,102318,17
"2000-12-22",162,4108,3813,295,4547,4321,226,1,13,211,701,12,184,841,767,74,10085,13603,81265,16
"2000-12-29",163,17549,17538,11,16803,16742,61,2,17,250,767,10,106,848,792,56,9944,27471,109050,14
"2001-01-05",164,16765,16648,117,16318,16181,137,2,17,255,1827,10,1123,1930,1871,59,9944,26475,108046,15
"2001-02-16",170,15591,15550,41,15815,15743,72,3,16,281,790,16,73,899,862,37,9352,24861,102840,17
"2001-02-23",171,17192,17192,0,16227,16141,86,2,19,310,1015,2,129,1085,1051,34,8135,25327,117910,16
"2001-03-02",172,16286,16286,0,16060,15927,133,2,18,280,1111,23,156,1177,1140,37,9139,25425,117999,15
"2001-03-09",173,16033,16033,0,15487,15360,127,3,17,298,1037,16,151,1114,1093,21,9455,25488,118474,17
"2001-03-16",174,15937,15937,0,14828,14725,103,5,17,295,1042,3,172,1153,1121,32,9094,25031,117311,17
"2001-04-20",179,17602,17191,411,15531,15412,119,5,18,316,3029,19,2052,3098,3073,25,8891,25671,120621,17
"2001-04-27",180,17727,17474,253,15798,15690,108,5,18,313,4555,7,3652,4622,4598,24,8994,26215,121347,17
"2001-05-04",181,15071,15071,0,9997,9964,33,5,16,287,871,6,102,980,927,53,9590,24661,119643,17
"2001-06-01",185,7351,7351,0,3016,2969,47,1,26,401,4218,55,347,4268,4250,18,3983,11334,131730,15
"2001-06-08",186,1632,1632,0,942,864,78,2,27,415,5592,50,657,5627,5616,11,3885,5517,117567,15
"2001-06-15",187,4961,4961,0,2752,2737,15,2,20,338,1061,16,98,1144,1106,38,9016,13977,114220,16
"2001-06-22",188,5579,5579,0,3141,3126,15,3,18,293,884,13,100,1012,955,57,9270,14849,113834,16
"2001-06-29",189,4781,4781,0,2709,2700,9,2,18,301,901,8,99,1025,982,43,9220,14001,111156,16
"2001-07-13",191,4103,4103,0,2336,2320,16,2,20,313,1067,11,101,1161,1121,40,9073,13176,111065,15
"2001-07-20",192,4309,4309,0,2394,2359,35,2,19,304,1027,18,97,1138,1096,42,9222,13531,110744,16
"2001-07-27",193,4654,4654,0,3220,3181,39,2,19,307,1028,10,101,1104,1077,27,9182,13836,111897,16
"2001-08-03",194,4656,4656,0,3333,3298,35,4,19,329,1026,9,95,1095,1080,15,9586,14242,112590,17
"2001-08-10",195,6137,6137,0,4626,4595,31,4,17,289,950,9,103,1040,1007,33,9781,15918,113982,17
"2001-08-17",196,6226,6226,0,4783,4749,34,4,16,261,841,10,88,948,897,51,10002,16228,113924,16
"2001-08-24",197,6054,6054,0,4560,4549,11,4,18,300,901,12,92,983,942,41,10004,16058,114971,16
"2001-08-31",198,5907,5906,1,3885,3848,37,3,18,277,1034,13,111,1120,1071,49,9303,15208,114122,15
"2001-09-07",199,4580,4580,0,2957,2905,52,3,18,275,1137,12,205,1191,1167,24,9213,13793,114431,15
"2001-09-14",200,4434,4434,0,2857,2817,40,3,19,301,1026,14,102,1086,1063,23,9273,13707,115470,15
"2001-09-21",201,4297,4297,0,2757,2731,26,3,17,282,992,14,108,1100,1068,32,9184,13481,114380,16
"2001-09-28",202,5510,5510,0,4687,4673,14,2,20,314,1292,1,118,1363,1335,28,7027,12537,118545,15
"2001-10-05",203,3645,3645,0,2789,2767,22,2,21,328,1459,6,135,1506,1486,20,6964,10609,117173,15
"2001-10-12",204,4235,4235,0,2616,2601,15,3,20,317,1096,14,104,1143,1110,33,9272,13507,115792,15
"2001-10-19",205,3070,3070,0,2225,2199,26,2,21,313,1483,5,142,1540,1502,38,6785,9855,116150,14
"2001-10-26",206,3538,3538,0,2550,2530,20,2,21,339,1605,7,142,1660,1634,26,6498,10036,116226,16
"2001-11-02",207,4131,4131,0,2431,2420,11,3,19,300,940,21,105,1002,949,53,8972,13103,108708,15
"2001-11-09",208,4277,4277,0,2537,2533,4,3,19,296,918,17,87,986,931,55,9376,13653,110062,15
"2001-11-16",209,2621,2621,0,1867,1835,32,2,21,334,1555,3,218,1611,1590,21,6966,9587,110798,15
"2001-11-23",210,4475,4258,217,2993,2930,63,4,17,303,1326,19,573,1425,1384,41,9542,13583,109782,17
"2001-11-30",211,2481,2481,0,1858,1828,30,2,20,337,1648,22,235,1739,1718,21,6384,8865,109613,16
"2001-12-07",212,2600,2600,0,1847,1805,42,2,20,324,1724,24,234,1814,1789,25,6503,9103,109340,16
"2001-12-14",213,5835,5835,0,3846,3843,3,3,16,267,746,16,86,881,831,50,9434,15269,113320,16
"2001-12-21",214,6019,6019,0,4231,4227,4,3,15,251,698,10,87,862,788,74,9685,15704,113276,16
"2001-12-28",215,5921,5921,0,4127,4109,18,3,14,221,762,21,97,929,852,77,9590,15511,113256,15
"2002-01-04",216,5695,5695,0,4027,4006,21,3,16,256,789,16,87,937,862,75,9335,15030,113213,16
"2002-01-18",218,4916,4916,0,3078,3073,5,3,17,286,820,12,93,951,908,43,9434,14350,113929,16
"2002-01-25",219,5219,5219,0,3157,3152,5,3,18,283,833,9,93,943,886,57,9942,15161,113602,15
"2002-02-01",220,6123,6123,0,3362,3362,0,3,18,282,839,15,80,954,899,55,9977,16100,116603,15
"2002-02-08",221,5657,5657,0,2900,2883,17,2,18,292,996,16,154,1091,1048,43,9956,15613,116833,16
"2002-02-15",222,6728,6728,0,3888,3871,17,2,17,280,979,20,159,1097,1043,54,10039,16767,116735,16
"2002-02-22",223,5394,5394,0,3507,3488,19,2,18,290,1041,19,166,1165,1112,53,9821,15215,115023,16
"2002-03-01",224,4676,4676,0,2701,2682,19,2,18,293,1056,18,167,1156,1123,33,9999,14675,116200,16
"2002-03-08",225,5589,5589,0,3649,3622,27,2,18,278,997,13,96,1107,1050,57,9825,15414,116401,15
"2002-03-22",227,5632,5632,0,3661,3612,49,2,17,271,1024,20,152,1128,1076,52,9827,15459,114785,15
"2002-03-29",228,4088,4088,0,3136,3088,48,1,20,308,1639,25,235,1727,1690,37,6621,10709,115366,15
"2002-05-31",237,5796,5721,75,4120,4018,102,2,18,292,1522,14,305,1639,1571,68,9415,15061,117541,16
"2002-06-07",238,6034,5959,75,4388,4282,106,5,17,291,1539,14,323,1687,1616,71,9384,15268,118541,17
"2002-06-14",239,5941,5863,78,4236,4132,104,5,18,297,1342,15,236,1472,1408,64,9381,15166,121926,16
"2002-06-21",240,5977,5899,78,4255,4149,106,3,17,288,1313,13,238,1460,1400,60,9304,15125,122320,16
"2002-06-28",241,5576,5498,78,3844,3768,76,6,16,280,1182,15,177,1348,1283,65,9009,14429,118707,17
"2002-07-05",242,6009,5938,71,3983,3884,99,6,15,268,1328,3,324,1506,1441,65,9389,15256,118429,17
"2002-07-12",243,5667,5667,0,3775,3708,67,6,16,293,1441,16,396,1608,1550,58,9307,14974,118840,18
"2002-07-19",244,5749,5678,71,4192,4114,78,6,15,269,1039,14,168,1205,1133,72,9389,14996,117945,17
"2002-07-26",245,5515,5444,71,3805,3742,63,6,16,277,1073,12,181,1222,1159,63,9093,14466,118434,17
"2002-08-02",246,5202,5131,71,3672,3634,38,6,15,266,916,17,105,1066,1015,51,9371,14431,118772,17
"2002-08-09",247,4348,4275,73,2842,2803,39,5,15,264,983,15,110,1111,1070,41,9343,13545,119364,17
"2002-08-16",248,5931,5860,71,4011,3952,59,2,17,275,1234,15,178,1386,1308,78,8399,14188,118675,16
"2002-08-23",249,5433,5362,71,3609,3516,93,2,18,303,1565,17,373,1694,1641,53,8419,13710,119748,16
"2002-09-27",254,2841,20,2821,1443,566,877,3,3,59,40,6,27,129,73,56,19679,16878,118587,19
"2002-10-04",255,4441,22,4419,1919,449,1470,6,3,63,38,6,25,136,78,58,22056,17659,119338,21
"2002-10-11",256,1922,1326,596,2009,1464,545,0,4,80,150,4,134,235,213,22,16812,17542,120905,20
"2002-10-18",257,1297,1287,10,1677,1676,1,22,5,129,41,4,10,156,129,27,16380,17657,121083,25
"2002-11-01",259,1387,1371,16,1504,1497,7,24,4,106,27,5,10,111,87,24,16572,17927,121270,26
"2002-11-08",260,1593,1579,14,1732,1730,2,23,4,104,30,7,9,135,112,23,16351,17916,121693,26
"2002-11-15",261,1593,1593,0,1746,1746,0,26,3,82,23,5,9,113,90,23,16359,17952,121553,27
"2002-11-22",262,1751,1751,0,2568,2565,3,23,5,133,48,7,13,160,135,25,17188,18939,123167,26
"2002-11-29",263,1833,1832,1,2676,2676,0,25,4,109,41,7,13,144,113,31,17449,19280,123422,27
"2002-12-06",264,2184,2183,1,2622,2616,6,20,5,122,49,5,12,175,120,55,16839,19021,122766,24
"2002-12-13",265,2161,2149,12,2711,2622,89,24,4,104,38,8,11,182,128,54,17432,19569,123058,26
"2002-12-20",266,2816,2814,2,3153,3147,6,25,4,107,35,7,10,182,130,52,16105,18917,123852,26
"2002-12-27",267,3024,3022,2,3225,3221,4,25,3,79,22,7,8,185,114,71,16216,19236,124422,26
"2003-01-03",268,2970,2970,0,3150,3146,4,19,4,97,41,10,11,213,144,69,16231,19201,125131,24
