date,ge4,ge12,ge25,ge50,ge100,ge150,ge200,ge250,ge300
2000-10-06,162235,122808,95161,60441,32964,0,0,0,0
2000-10-13,163433,123700,95784,60746,33152,0,0,0,0
2000-10-20,164511,124485,96390,61092,33344,0,0,0,0
2000-10-27,165467,125569,97170,61505,33557,0,0,0,0
2000-11-03,166411,126481,97866,61967,33743,0,0,0,0
2000-11-10,167514,127362,98602,62304,33865,0,0,0,0
2000-11-17,168448,128115,99307,62579,33954,0,0,0,0
2000-11-24,169419,128817,99709,62899,34082,0,0,0,0
2000-12-01,170287,129328,100196,63863,34200,0,0,0,0
2000-12-08,171015,129849,100855,65497,34343,16557,0,0,0
2000-12-15,172042,130408,101273,65714,34450,16652,0,0,0
2000-12-22,172874,130952,101785,65883,34552,16757,0,0,0
2000-12-29,173925,131547,102322,66136,34672,16976,0,0,0
2001-01-05,176124,132054,102805,66554,34784,17071,0,0,0
2001-01-12,178043,132603,103200,66845,34883,17261,0,0,0
2001-01-19,179348,133149,103989,67123,34983,17407,0,0,0
2001-01-26,191818,133719,104492,67414,35094,17493,0,0,0
2001-02-02,192541,134455,104978,67657,35208,17626,0,0,0
2001-02-16,193448,135090,105396,67889,35456,17794,0,0,0
2001-02-23,194578,136026,105886,68259,35582,17877,0,0,0
2001-03-02,195707,138443,106269,68573,35700,17972,0,0,0
2001-03-09,197176,139977,106651,68822,35821,18057,0,0,0
2001-03-16,200667,140757,107022,69162,35944,18118,0,0,0
2001-04-20,202831,151798,107415,69718,36135,18222,0,0,0
2001-04-27,204023,152393,107835,70033,36232,18341,0,0,0
2001-05-04,205054,152925,108240,70329,36356,18406,0,0,0
2001-05-11,206606,153893,108657,70626,36495,18529,0,0,0
2001-05-18,212164,154994,109096,70982,36621,18664,0,0,0
2001-05-25,214106,155929,109588,71308,36737,18775,0,0,0
2001-06-01,225566,159606,110160,71544,36880,18864,0,0,0
2001-06-08,227441,161397,110664,71902,37021,18962,0,0,0
2001-06-15,230630,162325,111294,72131,37097,19048,0,0,0
2001-06-22,231887,163199,113960,72471,37262,19146,0,0,0
2001-06-29,233122,164760,114672,72881,37377,19257,0,0,0
2001-07-13,234133,169134,115270,73091,37493,19365,0,0,0
2001-07-20,235170,170591,115691,73396,37596,19450,0,0,0
2001-07-27,236079,172110,116174,73721,37720,19566,0,0,0
2001-08-03,237056,173419,116627,74055,37837,19635,0,0,0
2001-08-10,238830,174381,117789,74336,37992,19712,0,0,0
2001-08-17,240084,175714,119013,74743,38098,19799,0,0,0
2001-08-24,241479,176652,119702,75103,38228,19887,0,0,0
2001-08-31,243385,177488,124085,75464,38389,20141,0,0,0
2001-09-07,245031,178424,125597,75781,38509,20243,0,0,0
2001-09-14,246458,179268,126385,76139,38650,20309,0,0,0
2001-09-21,247955,180286,127172,76433,38781,20392,0,0,0
2001-09-28,249119,181803,128473,76726,38910,20488,0,0,0
2001-10-05,249994,182749,131746,77029,39032,20574,0,0,0
2001-10-12,251021,183677,132673,77326,39176,20673,0,0,0
2001-10-19,252461,184760,133431,77675,39362,20755,0,0,0
2001-10-26,253472,185663,134285,77956,39489,20867,0,0,0
2001-11-02,254487,186506,135025,78278,39600,20941,0,0,0
2001-11-09,255400,187756,135981,78706,39705,21018,0,0,0
2001-11-16,256326,188706,136679,79028,39831,21095,0,0,0
2001-11-23,257477,189452,137389,79448,40006,21190,0,0,0
2001-11-30,258566,190359,138123,79761,40138,21272,0,0,0
2001-12-07,260301,191177,138814,80331,40347,21332,0,0,0
2001-12-14,261190,191984,139584,83692,40561,21411,0,0,0
2001-12-21,262026,192904,140727,84216,41200,21508,0,0,0
2001-12-28,262889,193726,141505,84798,42007,21597,13586,0,0
2002-01-04,264017,194518,142245,84981,42159,21675,13658,0,0
2002-01-11,267394,195323,142966,85253,42282,21752,13736,0,0
2002-01-18,268342,196418,143765,85548,42433,21845,13870,0,0
2002-01-25,268770,197333,144427,86915,42650,21920,13936,0,0
2002-02-01,269257,198119,145149,88276,42843,21987,14074,0,0
2002-02-08,270242,198848,145859,88782,43005,22056,14180,0,0
2002-02-15,271224,199600,146495,94355,43181,22119,14243,0,0
2002-02-22,272127,200927,147314,95509,43314,22191,14345,0,0
2002-03-01,273278,203887,148038,96109,43481,22352,14485,0,0
2002-03-08,274375,204740,148753,96649,43731,22448,14551,0,0
2002-03-15,275260,205132,149436,97580,43967,22525,14625,0,0
2002-03-22,276229,205767,150104,99801,44117,22619,14699,0,0
2002-03-29,277451,206689,150797,100415,44336,22711,14745,0,0
2002-04-05,278350,207574,151449,100927,44638,22832,14815,0,0
2002-04-12,279156,208533,152460,101544,44773,22908,14913,0,0
2002-04-19,280277,209494,153357,102162,44959,22990,14958,0,0
2002-04-26,281377,210462,154105,102781,45155,23105,15052,0,0
2002-05-03,282490,211302,154772,103326,45422,23205,15167,0,0
2002-05-10,283408,212243,155519,103899,45623,23286,15263,0,0
2002-05-17,284290,213373,156455,104529,45761,23397,15334,0,0
2002-05-24,285230,214121,157631,105146,45976,23501,15411,0,0
2002-05-31,286023,214873,158243,105774,46124,23554,15475,0,0
2002-06-07,286974,215767,158600,106634,46301,23668,15538,0,0
2002-06-14,288004,216758,159222,107253,46590,23742,15598,0,0
2002-06-21,288846,217770,159979,107868,46736,23822,15677,0,0
2002-06-28,289647,218608,160772,108449,46945,23907,15748,0,0
2002-07-05,291066,219488,161681,109083,47167,24001,15833,0,0
2002-07-12,291838,220242,162573,109675,47410,24080,15888,0,0
2002-07-19,292816,220942,163325,110310,47607,24183,15937,0,0
2002-07-26,293881,221789,164029,110879,47808,24263,15992,0,0
2002-08-02,294548,222680,164854,111422,48022,24345,16064,0,0
2002-08-09,295497,223463,165862,112094,48262,24464,16271,0,0
2002-08-16,296300,224199,166526,112696,48494,24555,16356,0,0
2002-08-23,297133,224955,167166,113287,48736,24657,16402,0,0
2002-08-30,298088,225673,167868,113853,48926,24757,16472,0,0
2002-09-06,298995,226530,168655,114352,49129,24837,16550,0,0
2002-09-13,299783,227352,169236,114975,49356,24928,16615,0,0
2002-09-20,300570,227958,169884,115506,49554,25047,16700,0,0
2002-09-27,301335,228651,170594,116307,49774,25183,16758,0,0
2002-10-04,301959,229379,171226,117051,49966,25273,16853,0,0
2002-10-11,302700,230104,171849,117701,50179,25358,16904,0,0
2002-10-18,303648,230935,172513,118225,50405,25428,16953,0,0
2002-11-01,304634,231703,173174,118854,50623,25526,17019,0,0
2002-11-08,306135,232352,173852,119508,50896,25668,17083,0,0
2002-11-15,307592,233042,174499,120151,51118,25763,17126,0,0
2002-11-22,308684,233739,175190,120615,51659,25916,17176,0,0
2002-11-29,310292,234259,175798,120916,55001,26074,17233,0,0
2002-12-06,311500,234953,176366,121274,55368,26541,17292,0,0
2002-12-13,312357,235902,177092,121707,55856,27145,17365,11727,0
2002-12-20,313639,236843,177666,122311,55986,27263,17431,11789,0
2002-12-27,314394,238376,178286,123323,56199,27344,17493,11851,0
2003-01-03,315252,239724,178894,124165,56410,27479,17560,11958,0
2003-01-10,316208,240700,179527,124794,57604,27645,17625,12012,0
2003-01-17,317759,242194,180251,125386,58986,27811,17674,12129,0
2003-01-24,318437,243413,180867,126105,59347,27934,17730,12215,0
2003-01-31,319077,244233,181471,126968,65117,28068,17781,12260,0
2003-02-07,319881,245280,182100,127521,66013,28159,17840,12348,0
2003-02-14,320746,245925,182716,128092,66428,28267,17975,12471,0
2003-02-21,321718,246699,183170,128713,66818,28471,18049,12526,0
2003-02-28,322641,247660,183782,129379,67549,28645,18098,12589,0
2003-03-07,323495,248499,184618,129895,69109,28761,18175,12651,0
2003-03-14,324441,249106,185302,130466,69549,28931,18248,12688,0
2003-03-21,325228,249747,186555,131077,69923,29127,18332,12743,0
2003-03-28,326210,250484,187317,131662,70391,29236,18393,12822,0
2003-04-04,327084,251336,188310,132211,70847,29404,18463,12859,0
2003-04-11,327885,252098,189597,132747,71329,29548,18561,12923,0
2003-04-18,328806,252966,190437,133299,71748,29757,18644,13020,0
2003-04-25,329702,253714,191166,133849,72144,29937,18709,13085,0
2003-05-02,331852,254604,191982,134408,72589,30051,18791,13144,0
2003-05-09,332771,255307,192530,134973,73061,30214,18880,13197,0
2003-05-16,333707,256118,193236,135497,73520,30346,18927,13250,0
2003-05-23,334768,256902,193988,135981,74116,30492,19014,13298,0
2003-05-30,335618,257601,194629,136531,74595,30697,19073,13351,0
2003-06-06,336396,258424,195182,137048,75005,30821,19138,13412,0
2003-06-13,337731,259225,195788,137577,75440,30992,19207,13462,0
2003-06-20,339099,261226,196468,138089,75912,31163,19268,13533,0
2003-06-27,342641,261965,197203,138642,76338,31364,19332,13578,0
2003-07-04,343592,262738,197881,139290,76797,31534,19417,13621,0
2003-07-11,344300,263607,198662,139776,77223,31688,19475,13662,0
2003-07-18,345065,264360,199320,140267,77595,31881,19537,13721,0
2003-07-25,346008,265018,200002,140774,78046,32073,19624,13894,0
