"asn_count","on_or_before_date"
354,"2007-05-11"
355,"2007-05-18"
355,"2007-05-25"
355,"2007-06-01"
355,"2007-06-08"
355,"2007-07-20"
356,"2007-07-27"
358,"2007-08-03"
358,"2007-08-10"
358,"2007-08-17"
358,"2007-08-24"
358,"2007-08-31"
358,"2007-09-07"
358,"2007-09-14"
358,"2007-09-21"
359,"2007-09-28"
359,"2007-10-05"
359,"2007-10-12"
359,"2007-10-19"
359,"2007-10-26"
359,"2007-11-02"
359,"2007-11-09"
360,"2007-11-16"
360,"2007-11-23"
360,"2007-11-30"
360,"2007-12-07"
360,"2007-12-14"
360,"2007-12-21"
360,"2007-12-28"
360,"2008-01-04"
360,"2008-01-11"
360,"2008-01-18"
360,"2008-01-25"
361,"2008-02-01"
361,"2008-02-08"
361,"2008-02-15"
362,"2008-02-22"
363,"2008-02-29"
363,"2008-03-07"
363,"2008-03-14"
363,"2008-03-21"
363,"2008-03-28"
363,"2008-04-04"
363,"2008-04-11"
363,"2008-04-18"
363,"2008-04-25"
363,"2008-05-02"
363,"2008-05-09"
363,"2008-05-16"
363,"2008-05-23"
363,"2008-05-30"
363,"2008-06-06"
363,"2008-06-13"
364,"2008-06-20"
364,"2008-06-27"
365,"2008-07-04"
365,"2008-07-11"
365,"2008-07-18"
366,"2008-07-25"
366,"2008-08-01"
366,"2008-08-08"
366,"2008-08-15"
366,"2008-08-22"
366,"2008-08-29"
366,"2008-09-05"
366,"2008-09-12"
366,"2008-09-19"
366,"2008-09-26"
366,"2008-10-03"
366,"2008-10-10"
366,"2008-10-17"
366,"2008-10-24"
366,"2008-10-31"
366,"2008-11-07"
366,"2008-11-14"
366,"2008-11-21"
366,"2008-11-28"
367,"2008-12-05"
367,"2008-12-12"
367,"2008-12-19"
368,"2008-12-26"
368,"2009-01-02"
368,"2009-01-09"
369,"2009-01-23"
369,"2009-01-30"
370,"2009-02-06"
370,"2009-02-13"
370,"2009-02-20"
370,"2009-02-27"
370,"2009-03-06"
370,"2009-03-13"
370,"2009-03-20"
370,"2009-03-27"
370,"2009-04-03"
370,"2009-04-10"
370,"2009-04-17"
370,"2009-04-24"
370,"2009-05-01"
370,"2009-05-08"
370,"2009-05-15"
370,"2009-05-22"
370,"2009-05-29"
371,"2009-06-05"
371,"2009-06-12"
371,"2009-06-19"
371,"2009-06-26"
371,"2009-07-03"
371,"2009-07-10"
371,"2009-07-17"
371,"2009-07-24"
371,"2009-07-31"
371,"2009-08-07"
371,"2009-08-14"
371,"2009-08-21"
371,"2009-08-28"
372,"2009-09-04"
372,"2009-09-11"
372,"2009-09-18"
372,"2009-09-25"
373,"2009-10-02"
373,"2009-10-09"
373,"2009-10-16"
373,"2009-10-23"
373,"2009-10-30"
374,"2009-11-06"
374,"2009-11-13"
374,"2009-11-20"
374,"2009-11-27"
374,"2009-12-04"
375,"2009-12-11"
376,"2009-12-18"
376,"2009-12-25"
376,"2010-01-01"
376,"2010-01-08"
376,"2010-01-15"
377,"2010-01-22"
377,"2010-01-29"
377,"2010-02-05"
377,"2010-02-12"
377,"2010-02-19"
377,"2010-02-26"
377,"2010-03-05"
377,"2010-03-12"
377,"2010-03-19"
377,"2010-03-26"
377,"2010-04-02"
377,"2010-04-09"
377,"2010-04-16"
378,"2010-04-23"
378,"2010-04-30"
378,"2010-05-07"
378,"2010-05-14"
379,"2010-05-21"
379,"2010-05-28"
379,"2010-06-04"
379,"2010-06-11"
379,"2010-06-18"
379,"2010-06-25"
379,"2010-07-02"
379,"2010-07-09"
380,"2010-07-16"
380,"2010-07-23"
380,"2010-07-30"
381,"2010-08-06"
381,"2010-08-13"
382,"2010-08-20"
382,"2010-08-27"
382,"2010-09-03"
382,"2010-09-10"
382,"2010-09-17"
382,"2010-09-24"
382,"2010-10-01"
383,"2010-10-08"
383,"2010-10-15"
383,"2010-10-22"
384,"2010-10-29"
384,"2010-11-05"
